datetime,type,gap_top,gap_bottom,gap_size,mitigated,mitigation_time,trend_at_creation,context
2024-11-29 20:00:00,Bullish,1.273398637771606,1.271358847618103,0.002039790153502974,True,2024-12-02 00:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 04:00:00,Bearish,1.273398637771606,1.270857930183411,0.0025407075881949126,True,2024-12-02 08:00:00,Neutral,Counter-Trend / Reversal
2024-12-02 16:00:00,Bearish,1.268182635307312,1.265406250953674,0.0027763843536379174,True,2024-12-02 20:00:00,Neutral,Counter-Trend / Reversal
2024-12-03 08:00:00,Bullish,1.266175389289856,1.265822768211365,0.0003526210784909889,True,2024-12-03 12:00:00,Neutral,Counter-Trend / Reversal
2024-12-05 08:00:00,Bullish,1.271180987358093,1.271003365516663,0.00017762184142999793,True,2024-12-12 12:00:00,Neutral,Counter-Trend / Reversal
2024-12-09 08:00:00,Bullish,1.275672912597656,1.274697303771973,0.0009756088256829276,True,2024-12-09 12:00:00,Neutral,Counter-Trend / Reversal
2024-12-10 20:00:00,Bullish,1.276650071144104,1.276291608810425,0.0003584623336789772,True,2024-12-11 04:00:00,Neutral,Counter-Trend / Reversal
2024-12-11 08:00:00,Bearish,1.277204513549805,1.275542736053467,0.0016617774963378906,True,2024-12-11 12:00:00,Uptrend,Counter-Trend / Reversal
2024-12-12 12:00:00,Bearish,1.276128768920898,1.274404883384705,0.0017238855361929595,True,2025-03-04 12:00:00,Downtrend,Trend Continuation
2024-12-12 16:00:00,Bearish,1.273755550384521,1.271908640861511,0.0018469095230100319,True,2024-12-17 16:00:00,Downtrend,Trend Continuation
2024-12-13 04:00:00,Bearish,1.26676881313324,1.266576409339905,0.00019240379333496094,True,2024-12-13 12:00:00,Downtrend,Trend Continuation
2024-12-13 08:00:00,Bearish,1.266095161437988,1.265422344207764,0.0006728172302241653,True,2024-12-13 12:00:00,Downtrend,Trend Continuation
2024-12-16 04:00:00,Bullish,1.263168573379517,1.262434959411621,0.0007336139678959519,True,2024-12-16 08:00:00,Downtrend,Counter-Trend / Reversal
2024-12-16 12:00:00,Bullish,1.264254450798035,1.264174580574036,7.987022399880139e-05,True,2024-12-18 16:00:00,Downtrend,Counter-Trend / Reversal
